,Country/Region,Province/State,Latitude,Longitude,Confirmed,Recovered,Deaths,Date
177925,Australia,Western Australia,-31.9505,115.8605,52.0,0.0,1.0,2020-03-19
177940,Australia,South Australia,-34.9285,138.6007,42.0,3.0,0.0,2020-03-19
177991,Australia,Tasmania,-41.4545,145.9707,10.0,3.0,0.0,2020-03-19
178012,Australia,Australian Capital Territory,-35.4735,149.0124,4.0,0.0,0.0,2020-03-19
178041,Australia,Northern Territory,-12.4634,130.8456,1.0,0.0,0.0,2020-03-19
178062,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-19
178135,Australia,New South Wales,-33.8688,151.2093,353.0,4.0,6.0,2020-03-20
178160,Australia,Queensland,-28.0167,153.4,184.0,8.0,0.0,2020-03-20
178189,Australia,Victoria,-37.8136,144.9631,121.0,8.0,0.0,2020-03-20
178223,Australia,Western Australia,-31.9505,115.8605,64.0,0.0,1.0,2020-03-20
178230,Australia,South Australia,-34.9285,138.6007,50.0,3.0,0.0,2020-03-20
178292,Australia,Tasmania,-41.4545,145.9707,10.0,3.0,0.0,2020-03-20
178303,Australia,Australian Capital Territory,-35.4735,149.0124,6.0,0.0,0.0,2020-03-20
178314,Australia,Northern Territory,-12.4634,130.8456,3.0,0.0,0.0,2020-03-20
178361,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-20
178431,Australia,New South Wales,-33.8688,151.2093,436.0,4.0,6.0,2020-03-21
178459,Australia,Victoria,-37.8136,144.9631,229.0,8.0,0.0,2020-03-21
178460,Australia,Queensland,-28.0167,153.4,221.0,8.0,0.0,2020-03-21
178509,Australia,Western Australia,-31.9505,115.8605,90.0,0.0,1.0,2020-03-21
178530,Australia,South Australia,-34.9285,138.6007,67.0,3.0,0.0,2020-03-21
178583,Australia,Tasmania,-41.4545,145.9707,16.0,3.0,0.0,2020-03-21
178599,Australia,Australian Capital Territory,-35.4735,149.0124,9.0,0.0,0.0,2020-03-21
178617,Australia,Northern Territory,-12.4634,130.8456,3.0,0.0,0.0,2020-03-21
178665,Australia,From Diamond Princess,35.4437,139.638,0.0,0.0,0.0,2020-03-21
181868,Australia,New South Wales,-33.8688,151.2093,669.0,4.0,6.0,2020-03-22
181869,Australia,Victoria,-37.8136,144.9631,296.0,70.0,0.0,2020-03-22
181870,Australia,Queensland,-27.4698,153.0251,259.0,8.0,0.0,2020-03-22
